"particle"	"letter"	"freq"
"ἀλλά"	81	16
"ἀλλά"	82	6
"γάρ"	81	10
"γάρ"	82	15
"δέ"	81	28
"δέ"	82	21
"καί"	81	54
"καί"	82	54
"μέν"	81	4
"οὖν"	81	6
"οὖν"	82	1
