letter	particle	position	freq_s	freq_is	freq_t	perc_s	perc_is	perc_t	perc_label
77	γάρ	1	0	0	0	0.0	0.0	0.0	0
77	γάρ	2	4	2	6	100.0	100.0	100.0	100.0%
77	γάρ	3	0	0	0	0.0	0.0	0.0	0
77	γάρ	4	0	0	0	0.0	0.0	0.0	0
77	γάρ	5	0	0	0	0.0	0.0	0.0	0
77	γάρ	6	0	0	0	0.0	0.0	0.0	0
77	γάρ	7	0	0	0	0.0	0.0	0.0	0
77	γάρ	8	0	0	0	0.0	0.0	0.0	0
77	γάρ	9	0	0	0	0.0	0.0	0.0	0
77	γάρ	10	0	0	0	0.0	0.0	0.0	0
77	γάρ	11	0	0	0	0.0	0.0	0.0	0
77	γάρ	12	0	0	0	0.0	0.0	0.0	0
77	γάρ	13	0	0	0	0.0	0.0	0.0	0
77	γάρ	14	0	0	0	0.0	0.0	0.0	0
77	γάρ	15	0	0	0	0.0	0.0	0.0	0
77	γάρ	16	0	0	0	0.0	0.0	0.0	0
77	γάρ	17	0	0	0	0.0	0.0	0.0	0
77	γάρ	18	0	0	0	0.0	0.0	0.0	0
77	γάρ	19	0	0	0	0.0	0.0	0.0	0
77	γάρ	20	0	0	0	0.0	0.0	0.0	0
77	δέ	1	0	0	0	0.0	0.0	0.0	0
77	δέ	2	3	4	7	100.0	80.0	87.5	87.5%
77	δέ	3	0	0	0	0.0	0.0	0.0	0
77	δέ	4	0	0	0	0.0	0.0	0.0	0
77	δέ	5	0	0	0	0.0	0.0	0.0	0
77	δέ	6	0	0	0	0.0	0.0	0.0	0
77	δέ	7	0	0	0	0.0	0.0	0.0	0
77	δέ	8	0	0	0	0.0	0.0	0.0	0
77	δέ	9	0	0	0	0.0	0.0	0.0	0
77	δέ	10	0	1	1	0.0	20.0	12.5	12.5%
77	δέ	11	0	0	0	0.0	0.0	0.0	0
77	δέ	12	0	0	0	0.0	0.0	0.0	0
77	δέ	13	0	0	0	0.0	0.0	0.0	0
77	δέ	14	0	0	0	0.0	0.0	0.0	0
77	δέ	15	0	0	0	0.0	0.0	0.0	0
77	δέ	16	0	0	0	0.0	0.0	0.0	0
77	δέ	17	0	0	0	0.0	0.0	0.0	0
77	δέ	18	0	0	0	0.0	0.0	0.0	0
77	δέ	19	0	0	0	0.0	0.0	0.0	0
77	δέ	20	0	0	0	0.0	0.0	0.0	0
77	καί	1	0	2	2	0.0	7.1	5.9	5.9%
77	καί	2	0	2	2	0.0	7.1	5.9	5.9%
77	καί	3	1	3	4	16.7	10.7	11.8	11.8%
77	καί	4	2	5	7	33.3	17.9	20.6	20.6%
77	καί	5	3	4	7	50.0	14.3	20.6	20.6%
77	καί	6	0	2	2	0.0	7.1	5.9	5.9%
77	καί	7	0	2	2	0.0	7.1	5.9	5.9%
77	καί	8	0	1	1	0.0	3.6	2.9	2.9%
77	καί	9	0	1	1	0.0	3.6	2.9	2.9%
77	καί	10	0	1	1	0.0	3.6	2.9	2.9%
77	καί	11	0	1	1	0.0	3.6	2.9	2.9%
77	καί	12	0	3	3	0.0	10.7	8.8	8.8%
77	καί	13	0	0	0	0.0	0.0	0.0	0
77	καί	14	0	0	0	0.0	0.0	0.0	0
77	καί	15	0	0	0	0.0	0.0	0.0	0
77	καί	16	0	0	0	0.0	0.0	0.0	0
77	καί	17	0	0	0	0.0	0.0	0.0	0
77	καί	18	0	0	0	0.0	0.0	0.0	0
77	καί	19	0	0	0	0.0	0.0	0.0	0
77	καί	20	0	1	1	0.0	3.6	2.9	2.9%
77	ἀλλά	1	0	3	3	0	75.0	75.0	75.0%
77	ἀλλά	2	0	0	0	0	0.0	0.0	0
77	ἀλλά	3	0	0	0	0	0.0	0.0	0
77	ἀλλά	4	0	0	0	0	0.0	0.0	0
77	ἀλλά	5	0	0	0	0	0.0	0.0	0
77	ἀλλά	6	0	0	0	0	0.0	0.0	0
77	ἀλλά	7	0	0	0	0	0.0	0.0	0
77	ἀλλά	8	0	0	0	0	0.0	0.0	0
77	ἀλλά	9	0	0	0	0	0.0	0.0	0
77	ἀλλά	10	0	1	1	0	25.0	25.0	25.0%
77	ἀλλά	11	0	0	0	0	0.0	0.0	0
77	ἀλλά	12	0	0	0	0	0.0	0.0	0
77	ἀλλά	13	0	0	0	0	0.0	0.0	0
77	ἀλλά	14	0	0	0	0	0.0	0.0	0
77	ἀλλά	15	0	0	0	0	0.0	0.0	0
77	ἀλλά	16	0	0	0	0	0.0	0.0	0
77	ἀλλά	17	0	0	0	0	0.0	0.0	0
77	ἀλλά	18	0	0	0	0	0.0	0.0	0
77	ἀλλά	19	0	0	0	0	0.0	0.0	0
77	ἀλλά	20	0	0	0	0	0.0	0.0	0
