letter	particle	position	freq_s	freq_is	freq_t	perc_s	perc_is	perc_t	perc_label
76	γάρ	1	0	0	0	0.0	0.0	0.0	0
76	γάρ	2	2	9	11	66.7	90.0	84.6	84.6%
76	γάρ	3	1	1	2	33.3	10.0	15.4	15.4%
76	γάρ	4	0	0	0	0.0	0.0	0.0	0
76	γάρ	5	0	0	0	0.0	0.0	0.0	0
76	γάρ	6	0	0	0	0.0	0.0	0.0	0
76	γάρ	7	0	0	0	0.0	0.0	0.0	0
76	γάρ	8	0	0	0	0.0	0.0	0.0	0
76	γάρ	9	0	0	0	0.0	0.0	0.0	0
76	γάρ	10	0	0	0	0.0	0.0	0.0	0
76	γάρ	11	0	0	0	0.0	0.0	0.0	0
76	γάρ	12	0	0	0	0.0	0.0	0.0	0
76	γάρ	13	0	0	0	0.0	0.0	0.0	0
76	γάρ	14	0	0	0	0.0	0.0	0.0	0
76	γάρ	15	0	0	0	0.0	0.0	0.0	0
76	γάρ	16	0	0	0	0.0	0.0	0.0	0
76	γάρ	17	0	0	0	0.0	0.0	0.0	0
76	γάρ	18	0	0	0	0.0	0.0	0.0	0
76	γάρ	19	0	0	0	0.0	0.0	0.0	0
76	γάρ	20	0	0	0	0.0	0.0	0.0	0
76	γάρ	21	0	0	0	0.0	0.0	0.0	0
76	γάρ	22	0	0	0	0.0	0.0	0.0	0
76	δέ	1	0	0	0	0.0	0.0	0.0	0
76	δέ	2	7	9	16	70.0	64.3	66.7	66.7%
76	δέ	3	3	1	4	30.0	7.1	16.7	16.7%
76	δέ	4	0	0	0	0.0	0.0	0.0	0
76	δέ	5	0	1	1	0.0	7.1	4.2	4.2%
76	δέ	6	0	1	1	0.0	7.1	4.2	4.2%
76	δέ	7	0	1	1	0.0	7.1	4.2	4.2%
76	δέ	8	0	0	0	0.0	0.0	0.0	0
76	δέ	9	0	1	1	0.0	7.1	4.2	4.2%
76	δέ	10	0	0	0	0.0	0.0	0.0	0
76	δέ	11	0	0	0	0.0	0.0	0.0	0
76	δέ	12	0	0	0	0.0	0.0	0.0	0
76	δέ	13	0	0	0	0.0	0.0	0.0	0
76	δέ	14	0	0	0	0.0	0.0	0.0	0
76	δέ	15	0	0	0	0.0	0.0	0.0	0
76	δέ	16	0	0	0	0.0	0.0	0.0	0
76	δέ	17	0	0	0	0.0	0.0	0.0	0
76	δέ	18	0	0	0	0.0	0.0	0.0	0
76	δέ	19	0	0	0	0.0	0.0	0.0	0
76	δέ	20	0	0	0	0.0	0.0	0.0	0
76	δέ	21	0	0	0	0.0	0.0	0.0	0
76	δέ	22	0	0	0	0.0	0.0	0.0	0
76	καί	1	0	17	17	0.0	42.5	30.9	30.9%
76	καί	2	0	2	2	0.0	5.0	3.6	3.6%
76	καί	3	1	2	3	6.7	5.0	5.5	5.5%
76	καί	4	2	6	8	13.3	15.0	14.5	14.5%
76	καί	5	3	4	7	20.0	10.0	12.7	12.7%
76	καί	6	1	1	2	6.7	2.5	3.6	3.6%
76	καί	7	1	1	2	6.7	2.5	3.6	3.6%
76	καί	8	1	3	4	6.7	7.5	7.3	7.3%
76	καί	9	1	1	2	6.7	2.5	3.6	3.6%
76	καί	10	3	1	4	20.0	2.5	7.3	7.3%
76	καί	11	1	0	1	6.7	0.0	1.8	1.8%
76	καί	12	0	0	0	0.0	0.0	0.0	0
76	καί	13	0	1	1	0.0	2.5	1.8	1.8%
