letter	particle	position	freq_s	freq_is	freq_t	perc_s	perc_is	perc_t	perc_label
81	γάρ	1	0	0	0	0.0	0.0	0.0	0
81	γάρ	2	7	1	8	87.5	50.0	80.0	80.0%
81	γάρ	3	1	1	2	12.5	50.0	20.0	20.0%
81	γάρ	4	0	0	0	0.0	0.0	0.0	0
81	γάρ	5	0	0	0	0.0	0.0	0.0	0
81	γάρ	6	0	0	0	0.0	0.0	0.0	0
81	γάρ	7	0	0	0	0.0	0.0	0.0	0
81	γάρ	8	0	0	0	0.0	0.0	0.0	0
81	γάρ	9	0	0	0	0.0	0.0	0.0	0
81	γάρ	10	0	0	0	0.0	0.0	0.0	0
81	γάρ	11	0	0	0	0.0	0.0	0.0	0
81	γάρ	12	0	0	0	0.0	0.0	0.0	0
81	γάρ	13	0	0	0	0.0	0.0	0.0	0
81	γάρ	14	0	0	0	0.0	0.0	0.0	0
81	γάρ	15	0	0	0	0.0	0.0	0.0	0
81	γάρ	16	0	0	0	0.0	0.0	0.0	0
81	γάρ	17	0	0	0	0.0	0.0	0.0	0
81	γάρ	18	0	0	0	0.0	0.0	0.0	0
81	γάρ	19	0	0	0	0.0	0.0	0.0	0
81	γάρ	20	0	0	0	0.0	0.0	0.0	0
81	δέ	1	0	0	0	0.0	0.0	0.0	0
81	δέ	2	7	10	17	100.0	47.6	60.7	60.7%
81	δέ	3	0	0	0	0.0	0.0	0.0	0
81	δέ	4	0	0	0	0.0	0.0	0.0	0
81	δέ	5	0	2	2	0.0	9.5	7.1	7.1%
81	δέ	6	0	2	2	0.0	9.5	7.1	7.1%
81	δέ	7	0	3	3	0.0	14.3	10.7	10.7%
81	δέ	8	0	0	0	0.0	0.0	0.0	0
81	δέ	9	0	0	0	0.0	0.0	0.0	0
81	δέ	10	0	0	0	0.0	0.0	0.0	0
81	δέ	11	0	2	2	0.0	9.5	7.1	7.1%
81	δέ	12	0	0	0	0.0	0.0	0.0	0
81	δέ	13	0	1	1	0.0	4.8	3.6	3.6%
81	δέ	14	0	1	1	0.0	4.8	3.6	3.6%
81	δέ	15	0	0	0	0.0	0.0	0.0	0
81	δέ	16	0	0	0	0.0	0.0	0.0	0
81	δέ	17	0	0	0	0.0	0.0	0.0	0
81	δέ	18	0	0	0	0.0	0.0	0.0	0
81	δέ	19	0	0	0	0.0	0.0	0.0	0
81	δέ	20	0	0	0	0.0	0.0	0.0	0
81	καί	1	3	7	10	18.8	18.4	18.5	18.5%
81	καί	2	0	1	1	0.0	2.6	1.9	1.9%
81	καί	3	1	4	5	6.2	10.5	9.3	9.3%
81	καί	4	2	3	5	12.5	7.9	9.3	9.3%
81	καί	5	2	7	9	12.5	18.4	16.7	16.7%
81	καί	6	1	3	4	6.2	7.9	7.4	7.4%
81	καί	7	1	2	3	6.2	5.3	5.6	5.6%
81	καί	8	3	0	3	18.8	0.0	5.6	5.6%
81	καί	9	0	1	1	0.0	2.6	1.9	1.9%
81	καί	10	1	0	1	6.2	0.0	1.9	1.9%
81	καί	11	0	1	1	0.0	2.6	1.9	1.9%
81	καί	12	1	2	3	6.2	5.3	5.6	5.6%
81	καί	13	0	1	1	0.0	2.6	1.9	1.9%
81	καί	14	0	1	1	0.0	2.6	1.9	1.9%
81	καί	15	1	0	1	6.2	0.0	1.9	1.9%
81	καί	16	0	1	1	0.0	2.6	1.9	1.9%
81	καί	17	0	0	0	0.0	0.0	0.0	0
81	καί	18	0	2	2	0.0	5.3	3.7	3.7%
81	καί	19	0	0	0	0.0	0.0	0.0	0
81	καί	20	0	2	2	0.0	5.3	3.7	3.7%
81	μέν	1	0	0	0	0	0.0	0.0	0
81	μέν	2	0	2	2	0	50.0	50.0	50.0%
81	μέν	3	0	1	1	0	25.0	25.0	25.0%
81	μέν	4	0	0	0	0	0.0	0.0	0
81	μέν	5	0	0	0	0	0.0	0.0	0
81	μέν	6	0	0	0	0	0.0	0.0	0
81	μέν	7	0	0	0	0	0.0	0.0	0
81	μέν	8	0	0	0	0	0.0	0.0	0
81	μέν	9	0	1	1	0	25.0	25.0	25.0%
81	μέν	10	0	0	0	0	0.0	0.0	0
81	μέν	11	0	0	0	0	0.0	0.0	0
81	μέν	12	0	0	0	0	0.0	0.0	0
81	μέν	13	0	0	0	0	0.0	0.0	0
81	μέν	14	0	0	0	0	0.0	0.0	0
81	μέν	15	0	0	0	0	0.0	0.0	0
81	μέν	16	0	0	0	0	0.0	0.0	0
81	μέν	17	0	0	0	0	0.0	0.0	0
81	μέν	18	0	0	0	0	0.0	0.0	0
81	μέν	19	0	0	0	0	0.0	0.0	0
81	μέν	20	0	0	0	0	0.0	0.0	0
81	οὖν	1	0	0	0	0.0	0	0.0	0
81	οὖν	2	6	0	6	100.0	0	100.0	100.0%
81	οὖν	3	0	0	0	0.0	0	0.0	0
81	οὖν	4	0	0	0	0.0	0	0.0	0
81	οὖν	5	0	0	0	0.0	0	0.0	0
81	οὖν	6	0	0	0	0.0	0	0.0	0
81	οὖν	7	0	0	0	0.0	0	0.0	0
81	οὖν	8	0	0	0	0.0	0	0.0	0
81	οὖν	9	0	0	0	0.0	0	0.0	0
81	οὖν	10	0	0	0	0.0	0	0.0	0
81	οὖν	11	0	0	0	0.0	0	0.0	0
81	οὖν	12	0	0	0	0.0	0	0.0	0
81	οὖν	13	0	0	0	0.0	0	0.0	0
81	οὖν	14	0	0	0	0.0	0	0.0	0
81	οὖν	15	0	0	0	0.0	0	0.0	0
81	οὖν	16	0	0	0	0.0	0	0.0	0
81	οὖν	17	0	0	0	0.0	0	0.0	0
81	οὖν	18	0	0	0	0.0	0	0.0	0
81	οὖν	19	0	0	0	0.0	0	0.0	0
81	οὖν	20	0	0	0	0.0	0	0.0	0
81	ἀλλά	1	2	7	9	100.0	50.0	56.2	56.2%
81	ἀλλά	2	0	0	0	0.0	0.0	0.0	0
81	ἀλλά	3	0	1	1	0.0	7.1	6.2	6.2%
81	ἀλλά	4	0	1	1	0.0	7.1	6.2	6.2%
81	ἀλλά	5	0	1	1	0.0	7.1	6.2	6.2%
81	ἀλλά	6	0	3	3	0.0	21.4	18.8	18.8%
81	ἀλλά	7	0	1	1	0.0	7.1	6.2	6.2%
81	ἀλλά	8	0	0	0	0.0	0.0	0.0	0
81	ἀλλά	9	0	0	0	0.0	0.0	0.0	0
81	ἀλλά	10	0	0	0	0.0	0.0	0.0	0
81	ἀλλά	11	0	0	0	0.0	0.0	0.0	0
81	ἀλλά	12	0	0	0	0.0	0.0	0.0	0
81	ἀλλά	13	0	0	0	0.0	0.0	0.0	0
