letter	particle	position	freq_s	freq_is	freq_t	perc_s	perc_is	perc_t	perc_label
81	καί	1	3	7	10	18.8	18.4	18.5	18.5%
81	καί	2	0	1	1	0.0	2.6	1.9	1.9%
81	καί	3	1	4	5	6.2	10.5	9.3	9.3%
81	καί	4	2	3	5	12.5	7.9	9.3	9.3%
81	καί	5	2	7	9	12.5	18.4	16.7	16.7%
81	καί	6	1	3	4	6.2	7.9	7.4	7.4%
81	καί	7	1	2	3	6.2	5.3	5.6	5.6%
81	καί	8	3	0	3	18.8	0.0	5.6	5.6%
81	καί	9	0	1	1	0.0	2.6	1.9	1.9%
81	καί	10	1	0	1	6.2	0.0	1.9	1.9%
81	καί	11	0	1	1	0.0	2.6	1.9	1.9%
81	καί	12	1	2	3	6.2	5.3	5.6	5.6%
81	καί	13	0	1	1	0.0	2.6	1.9	1.9%
81	καί	14	0	1	1	0.0	2.6	1.9	1.9%
81	καί	15	1	0	1	6.2	0.0	1.9	1.9%
81	καί	16	0	1	1	0.0	2.6	1.9	1.9%
81	καί	17	0	0	0	0.0	0.0	0.0	0
81	καί	18	0	2	2	0.0	5.3	3.7	3.7%
81	καί	19	0	0	0	0.0	0.0	0.0	0
81	καί	20	0	2	2	0.0	5.3	3.7	3.7%
82	καί	1	1	9	10	7.1	22.5	18.5	18.5%
82	καί	2	0	3	3	0.0	7.5	5.6	5.6%
82	καί	3	0	3	3	0.0	7.5	5.6	5.6%
82	καί	4	2	4	6	14.3	10.0	11.1	11.1%
82	καί	5	1	8	9	7.1	20.0	16.7	16.7%
82	καί	6	1	2	3	7.1	5.0	5.6	5.6%
82	καί	7	1	0	1	7.1	0.0	1.9	1.9%
82	καί	8	0	1	1	0.0	2.5	1.9	1.9%
82	καί	9	0	2	2	0.0	5.0	3.7	3.7%
82	καί	10	1	3	4	7.1	7.5	7.4	7.4%
82	καί	11	1	0	1	7.1	0.0	1.9	1.9%
82	καί	12	2	0	2	14.3	0.0	3.7	3.7%
82	καί	13	0	0	0	0.0	0.0	0.0	0
82	καί	14	1	0	1	7.1	0.0	1.9	1.9%
82	καί	15	1	2	3	7.1	5.0	5.6	5.6%
82	καί	16	0	0	0	0.0	0.0	0.0	0
82	καί	17	0	1	1	0.0	2.5	1.9	1.9%
82	καί	18	1	1	2	7.1	2.5	3.7	3.7%
82	καί	19	0	1	1	0.0	2.5	1.9	1.9%
82	καί	20	0	0	0	0.0	0.0	0.0	0
82	καί	21	0	0	0	0.0	0.0	0.0	0
82	καί	22	1	0	1	7.1	0.0	1.9	1.9%
